Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn, CloudCover,Events,WindDirDegrees
2013-1-1,43,36,28,32,28,25,89,77,58,30.51,30.44,30.36,10,9,5,5,1,,0.00,1,,354
2013-1-2,46,37,28,29,24,18,89,64,41,30.35,30.27,30.20,10,10,6,10,2,,0.00,0,,146
2013-1-3,46,36,27,35,24,19,89,62,37,30.21,30.15,30.10,10,9,3,12,3,,0.18,3,Rain,150
2013-1-4,53,45,37,43,39,34,93,81,62,30.31,30.24,30.17,10,8,2,12,5,,0.07,6,Rain,128
2013-1-5,46,44,42,40,35,32,92,72,63,30.20,30.16,30.12,10,9,5,13,3,18,0.10,7,Rain,150
2013-1-6,46,42,39,40,38,37,89,81,68,30.19,30.12,30.00,10,10,7,10,7,,0.03,7,Rain,148
2013-1-7,52,46,41,46,43,39,93,79,71,30.16,29.97,29.82,10,10,10,22,11,37,0.02,7,Rain,174
2013-1-8,55,48,42,48,43,39,93,82,71,30.16,29.95,29.75,10,7,1,21,9,36,0.53,8,Rain,157
2013-1-9,51,44,37,47,38,33,89,82,73,29.95,29.80,29.68,10,9,5,15,10,26,1.15,8,Rain,156
2013-1-10,39,34,30,34,32,29,93,82,73,30.13,30.07,29.95,10,9,0,7,3,,0.00,7,Fog-Rain,222
2013-1-11,37,32,28,30,26,20,93,81,48,30.33,30.25,30.12,10,6,0,7,3,,0.00,3,Fog,117
2013-1-12,39,32,26,29,24,21,88,77,49,30.45,30.38,30.33,10,9,1,9,1,,0.00,4,,7
2013-1-13,37,30,24,25,22,19,85,73,51,30.51,30.47,30.45,10,10,7,6,3,,0.00,4,,139
2013-1-14,39,34,30,30,27,24,79,73,60,30.57,30.52,30.48,10,10,10,9,4,,0.00,8,,139
2013-1-15,45,40,34,32,30,28,85,72,55,30.71,30.67,30.58,10,10,8,6,1,,0.00,4,,1
2013-1-16,44,36,28,33,30,25,93,83,60,30.69,30.62,30.53,10,5,0,6,2,,0.00,2,Fog,140
2013-1-17,37,32,28,34,31,25,100,90,83,30.53,30.41,30.31,7,1,0,6,1,,0.00,7,Fog,139
2013-1-18,39,36,33,36,33,31,96,91,83,30.36,30.31,30.28,10,3,0,6,2,,0.00,8,Fog,71
2013-1-19,37,35,33,34,32,30,93,88,81,30.40,30.37,30.35,9,2,0,6,2,,0.00,8,Fog,41
2013-1-20,41,37,33,35,32,30,96,88,79,30.40,30.34,30.27,7,2,0,6,1,,0.00,6,Fog,71
2013-1-21,37,34,32,34,32,29,93,90,82,30.29,30.22,30.16,6,2,0,7,3,,0.00,8,Fog,112
2013-1-22,39,34,30,34,32,29,92,85,73,30.15,30.04,29.92,8,3,0,7,1,,0.00,5,Fog,144
2013-1-23,45,41,37,39,36,30,87,75,56,30.14,29.95,29.85,10,9,4,13,5,16,0.21,8,Rain,151
2013-1-24,46,42,37,40,37,33,89,79,59,30.21,30.14,30.06,10,9,3,8,5,,0.16,7,Rain,146
2013-1-25,53,48,39,43,41,36,93,81,62,30.06,30.01,29.94,10,8,2,8,5,,0.09,6,Rain,154
2013-1-26,48,44,41,39,37,36,89,78,63,30.04,29.94,29.89,10,9,5,14,8,22,0.16,8,Rain,173
2013-1-27,44,42,41,38,37,35,89,79,73,30.07,30.03,30.00,10,10,7,12,5,22,0.01,8,Rain,164
2013-1-28,45,42,39,40,38,36,89,84,76,30.10,30.05,30.01,10,10,8,9,6,,0.21,7,Rain,145
2013-1-29,48,46,43,45,43,40,90,86,77,30.34,30.27,30.11,10,9,4,12,7,22,0.29,8,Rain,152
2013-1-30,50,48,46,47,45,43,93,89,83,30.38,30.36,30.32,10,5,1,10,7,,0.06,8,Rain,149
2013-1-31,52,49,46,46,44,43,93,84,74,30.40,30.35,30.30,10,9,3,12,6,23,0.08,8,Rain,156
2013-2-1,51,48,44,45,43,39,93,83,71,30.41,30.38,30.34,10,9,5,7,2,,0.00,6,,354
2013-2-2,44,42,39,40,38,37,93,86,79,30.39,30.32,30.27,10,5,0,9,4,,0.00,8,Fog,40
2013-2-3,50,44,39,43,39,36,93,84,71,30.30,30.27,30.21,10,8,1,10,7,,0.08,8,Rain,147
2013-2-4,52,48,44,42,41,39,87,76,61,30.20,30.08,29.91,10,10,10,9,6,,0.00,7,,138
2013-2-5,52,48,44,43,40,38,87,76,63,29.95,29.88,29.85,10,10,8,17,9,33,0.18,7,Rain,168
2013-2-6,52,48,45,42,39,37,82,74,59,30.06,29.96,29.80,10,10,10,14,9,20,0.08,8,Rain,152
2013-2-7,50,46,39,38,35,30,82,66,46,30.19,30.02,29.83,10,10,10,20,7,28,0.09,4,Rain,192
2013-2-8,46,42,37,36,35,33,89,73,61,30.31,30.28,30.21,10,10,9,6,1,,0.00,7,,58
2013-2-9,46,44,42,40,37,34,85,77,61,30.34,30.29,30.27,10,9,3,6,1,,0.01,8,Rain,126
